abbr,Off,Def,TO,SOS,Rating,BasePlayoff
ARI,22,31,-2,.571,1506.7,16.2
ATL,8,23,3,.495,1525.0,18.5
BAL,16,15,-1,.507,1546.7,73.1
BUF,3,12,0,.471,1544.3,47.6
CAR,26,17,-1,.522,1520.5,32.4
CHI,10,25,17,.458,1513.1,48.5
CIN,27,29,-3,.521,1529.1,62.5
CLE,32,3,-7,.486,1512.6,23.4
DAL,6,32,-11,.438,1543.2,36.6
DEN,19,1,3,.422,1472.3,32.3
DET,7,11,4,.490,1489.2,46.7
GB,4,19,1,.483,1523.4,65.6
HOU,17,2,12,.522,1533.8,51.1
IND,9,24,0,.540,1585.6,44.1
JAX,12,7,12,.478,1519.3,38.9
KC,11,16,-1,.514,1539.2,55.1
LAC,25,5,2,.469,1559.7,51.6
LAR,5,8,14,.526,1531.2,67.5
LV,31,22,-7,.538,1528.8,31.5
MIA,21,26,-6,.488,1554.4,26.7
MIN,29,6,-7,.514,1600.2,57.2
NE,1,14,3,.391,1528.6,63.7
NO,18,10,-2,.495,1497.7,29.9
NYG,24,27,-2,.524,1514.6,21.3
NYJ,28,18,-21,.552,1451.9,28.6
PHI,20,9,9,.476,1528.8,60.4
PIT,23,13,13,.503,1526.3,45.2
SEA,2,4,6,.498,1531.1,64.8
SF,14,28,-13,.498,1570.2,59.3
TB,15,20,5,.529,1528.7,43.7
TEN,30,21,-9,.574,1482.5,24.5
WAS,13,30,-11,.507,1497.7,31.4
